title,release_year,budget_tier,franchise,franchise_size,distributor_tier,sequel,director_brand,family_appeal,is_action,is_scifi,is_superhero,is_comedy,is_animation,is_drama,is_horror,box_office_worldwide
Second Act,2018,0,0,0,2,0,0,0,0,0,0,1,0,1,0,92687852
Ocean's 8,2018,1,1,1,2,1,0,0,1,0,0,0,0,1,0,381703636
Thank You for Smoking,2005,0,0,0,1,0,0,0,0,0,0,1,0,1,0,65965613
Mortal Kombat,2021,1,1,2,2,0,0,0,1,0,0,0,0,0,1,100307671
Tomb Raider,2018,1,1,1,2,0,0,0,1,0,0,0,0,0,0,352513018
Uncharted,2022,1,1,1,2,0,0,0,1,0,0,0,0,0,0,447886686
Five Nights at Freddy's,2023,0,1,1,2,0,0,0,0,0,0,0,0,0,1,314061043
Five Nights at Freddy's 2,2025,0,1,2,2,1,0,1,0,0,0,0,0,0,1,238924587
Rampage,2018,2,1,1,2,0,0,0,1,1,0,0,0,0,0,428128233
Prince of Persia: The Sands of Time,2010,2,1,1,2,0,0,0,1,0,0,0,0,0,0,431257841
Warcraft,2016,2,1,1,2,0,0,0,1,1,0,0,0,0,0,588735854
Resident Evil: Afterlife,2010,1,1,1,2,1,0,0,1,0,0,0,0,0,1,436835603
Oblivion,2013,2,0,0,2,0,0,0,1,1,0,0,0,0,0,397896370
Signs,2002,1,0,0,2,0,1,0,0,1,0,0,0,1,1,730591528
Lucy,2014,0,0,0,2,0,0,0,1,1,0,0,0,0,0,622175866
The Island,2005,2,0,0,2,0,0,0,1,1,0,0,0,0,0,268729124
War of the Worlds,2005,2,0,0,2,0,1,0,1,1,0,0,0,0,0,1000341908
Arrival,2016,1,0,0,2,0,1,0,0,1,0,0,0,1,0,271107639
Super 8,2011,1,0,0,2,0,0,0,0,1,0,0,0,1,0,369222409
A Quiet Place,2018,0,1,2,2,0,0,0,0,0,0,0,0,0,1,429343665
Nope,2022,1,0,0,2,0,1,0,0,1,0,0,0,0,1,189138509
The Martian,2015,2,0,0,2,0,0,0,0,1,0,0,0,1,0,887804996
Oppenheimer,2023,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1033312100
Tenet,2020,2,0,0,2,0,2,0,1,1,0,0,0,1,0,455618986
Dunkirk,2017,1,0,0,2,0,2,0,0,0,0,0,0,1,0,693570032
Inception,2010,1,0,0,2,0,2,0,1,1,0,0,0,1,0,1220815282
The Prestige,2006,1,0,0,2,0,1,0,0,0,0,0,0,1,0,166732245
Insomnia,2002,1,0,0,2,0,1,0,0,0,0,0,0,1,0,203335009
PAW Patrol: The Movie,2021,0,1,1,2,0,0,1,0,0,0,0,1,0,0,179884382
Puss in Boots: The Last Wish,2022,1,1,1,2,1,0,1,0,0,0,1,1,0,0,532799287
The Boss Baby,2017,1,1,1,2,0,0,1,0,0,0,1,1,0,0,693362079
The Bad Guys,2022,1,0,0,2,0,0,1,0,0,0,1,1,0,0,276296454
The SpongeBob Movie,2020,1,1,3,2,0,0,1,0,0,0,1,1,0,0,159585000
The Addams Family,2019,1,1,2,2,0,0,1,0,0,0,1,1,0,0,252596558
Tom & Jerry,2021,1,1,1,2,0,0,1,0,0,0,1,1,0,0,162221023
Paw Patrol: The Mighty Movie,2023,0,1,3,2,1,0,1,0,0,0,0,1,0,0,213154337
The Good Dinosaur,2015,2,0,0,2,0,0,1,0,0,0,0,1,1,0,453365155
Ice Age: Dawn of the Dinosaurs,2009,2,1,3,2,1,0,1,0,0,0,0,1,0,0,1330598516
Cloverfield,2008,0,1,1,2,0,0,0,0,1,0,0,0,0,1,256148556
Mickey 17,2025,2,0,0,2,0,1,0,0,1,0,0,0,1,0,133442263
I Am Legend,2007,2,0,0,2,0,0,0,1,1,0,0,0,1,1,909165287
Midnight Special,2016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,10302211
65,2023,1,0,0,2,0,0,0,1,1,0,0,0,0,0,59423322
The Creator,2023,1,0,0,2,0,0,0,1,1,0,0,0,1,0,110172182
Ad Astra,2019,2,0,0,2,0,0,0,0,1,0,0,0,1,0,170197374
District 9,2009,0,0,0,1,0,0,0,1,1,0,0,0,1,0,318816311
Gravity,2013,2,0,0,2,0,0,0,0,1,0,0,0,1,0,946186480
The Mist,2007,0,0,0,1,0,0,0,0,0,0,0,0,0,1,88798842
It,2017,1,1,2,2,0,0,0,0,0,0,0,0,0,1,924809734
The Avengers,2012,2,1,3,2,0,0,0,1,1,1,0,0,0,0,2132140813
Avengers: Age of Ultron,2015,2,1,3,2,1,0,0,1,1,1,0,0,0,0,1908452666
Avengers: Infinity War,2018,2,1,3,2,1,0,0,1,1,1,0,0,0,0,2631390821
Avengers: Endgame,2019,2,1,3,2,1,0,0,1,1,1,0,0,0,0,3525269491
Rogue One: A Star Wars Story,2016,2,1,3,2,0,0,0,1,1,0,0,0,0,0,1415278630
Solo: A Star Wars Story,2018,2,1,3,2,0,0,0,1,1,0,0,0,0,0,504057331
Star Wars: The Force Awakens,2015,2,1,3,2,0,0,0,1,1,0,0,0,0,0,2792752782
Star Wars: The Last Jedi,2017,2,1,3,2,1,0,0,1,1,0,0,0,0,0,1737090885
Star Wars: The Rise of Skywalker,2019,2,1,3,2,1,0,0,1,1,0,0,0,0,0,1347365794
Dune,2021,2,1,2,2,0,1,0,1,1,0,0,0,1,0,510354050
Dune: Part Two,2024,2,1,2,2,1,1,0,1,1,0,0,0,1,0,786781801
The Hunger Games,2012,1,1,2,2,0,0,0,1,1,0,0,0,0,0,950602744
Catching Fire,2013,1,1,2,2,1,0,0,1,1,0,0,0,0,0,1195151408
Mockingjay Part 1,2014,1,1,2,2,1,0,0,1,1,0,0,0,0,0,1042484022
Mockingjay Part 2,2015,1,1,2,2,1,0,0,1,1,0,0,0,0,0,877639635
The Ballad of Songbirds and Snakes,2023,1,1,5,2,0,0,0,1,1,0,0,0,1,0,367545808
Joker,2019,1,1,2,2,0,0,0,0,0,1,0,0,1,0,1358446799
Joker: Folie à Deux,2024,1,1,2,2,1,0,0,0,0,1,0,0,1,0,212960177
Shazam!,2019,1,1,2,2,0,0,0,1,0,1,0,0,0,0,460859718
Shazam! Fury of the Gods,2023,1,1,2,2,1,0,0,1,0,1,0,0,0,0,141816513
Blue Beetle,2023,1,1,1,2,0,0,0,1,0,1,0,0,0,0,138244926
